vehicleID,parkingAreaID
0,parkingArea_84823308_0_834
1,parkingArea_8922291#0_0_762
1,parkingArea_8922291#0_0_762
1,parkingArea_8922291#0_0_762
2,parkingArea_283537380#1_0_469
3,parkingArea_-27397692_0_397
4,parkingArea_8916922#3_0_423
4,parkingArea_27397937_0_384
5,parkingArea_283537380#1_0_469
7,parkingArea_-24310636#0_0_933
7,parkingArea_-24310636#0_0_933
7,parkingArea_24310636#1_0_934
7,parkingArea_24310636#1_0_934
9,parkingArea_143617589#2_0_527
9,parkingArea_143617589#2_0_527
9,parkingArea_133735130#0_0_524
9,parkingArea_143617589#2_0_527
10,parkingArea_91181771#0_0_77
10,parkingArea_88559691#4_0_101
11,parkingArea_-99231486_0_446
11,parkingArea_-27397692_0_397
13,parkingArea_91181771#5_0_513
14,parkingArea_8915752_0_467
15,parkingArea_254299142#3_0_508
16,parkingArea_-225518512#1_0_517
16,parkingArea_-225518512#1_0_517
17,parkingArea_225518512#0_0_107
18,parkingArea_254971064#0_0_425
19,parkingArea_47172745_0_65
20,parkingArea_91181771#15_0_723
21,parkingArea_35675861#1_0_461
22,parkingArea_8916922#3_0_423
22,parkingArea_27397937_0_384
23,parkingArea_8919338_0_468
24,parkingArea_-p4#0_0_102
24,parkingArea_-p4#0_0_102
25,parkingArea_35675861#0_0_89
25,parkingArea_35675861#0_0_89
25,parkingArea_35675861#0_0_89
25,parkingArea_35675861#0_0_89
25,parkingArea_35675861#0_0_89
27,parkingArea_135110258#0_0_410
28,parkingArea_254299117#1_0_500
28,parkingArea_8919616#1_0_491
28,parkingArea_254299117#1_0_500
28,parkingArea_8919616#1_0_491
28,parkingArea_254299117#1_0_500
28,parkingArea_8919616#1_0_491
28,parkingArea_254299117#1_0_500
28,parkingArea_8919616#1_0_491
28,parkingArea_8919616#1_0_491
28,parkingArea_8919616#1_0_491
28,parkingArea_254299117#1_0_500
29,parkingArea_224199018#1_0_319
29,parkingArea_224199018#1_0_319
29,parkingArea_224199018#1_0_319
29,parkingArea_224199013#1_0_353
29,parkingArea_224199018#1_0_319
30,parkingArea_206662304#13_0_660
30,parkingArea_206662304#13_0_660
30,parkingArea_206662304#13_0_660
31,parkingArea_111089307#4_0_960
32,parkingArea_27146036#2_0_294
32,parkingArea_254756520#0_0_352
33,parkingArea_224316522#0_0_572
34,parkingArea_133733593#1_0_571
35,parkingArea_28843496_0_299
35,parkingArea_28843496_0_299
35,parkingArea_28843496_0_299
35,parkingArea_28843496_0_299
35,parkingArea_28843496_0_299
35,parkingArea_28843496_0_299
35,parkingArea_-47108420#3_0_302
36,parkingArea_-255330036#11_0_91
36,parkingArea_-111550910#1_0_480
36,parkingArea_255330036#13_0_94
36,parkingArea_-255330036#12_0_93
36,parkingArea_111550910#2_0_479
37,parkingArea_225518502#0_0_84
37,parkingArea_-225518512#1_0_517
39,parkingArea_-225518512#1_0_517
41,parkingArea_88597553#2_0_369
42,parkingArea_-99231475_0_428
43,parkingArea_26988030#3_0_1200
43,parkingArea_26988030#3_0_1200
43,parkingArea_26988030#3_0_1200
43,parkingArea_26988030#3_0_1200
43,parkingArea_26988030#3_0_1200
43,parkingArea_26988030#3_0_1200
44,parkingArea_-254971068_0_334
45,parkingArea_-43100739_0_743
45,parkingArea_-43100739_0_743
45,parkingArea_-43100739_0_743
47,parkingArea_47172745_0_65
47,parkingArea_88572970_0_68
48,parkingArea_225518512#0_0_107
49,parkingArea_27054213#4_0_345
50,parkingArea_254971064#0_0_425
52,parkingArea_-27397692_0_397
52,parkingArea_-27397692_0_397
52,parkingArea_27398032#2_0_392
54,parkingArea_8915752_0_467
55,parkingArea_35675861#1_0_461
59,parkingArea_247966218#3_0_791
59,parkingArea_247966218#3_0_791
60,parkingArea_-37177689#5_0_814
61,parkingArea_224316527_0_333
62,parkingArea_224199018#4_0_322
63,parkingArea_28319343#2_0_354
64,parkingArea_111319423_0_83
65,parkingArea_99231463#0_0_394
66,parkingArea_35675861#1_0_461
66,parkingArea_35675861#1_0_461
67,parkingArea_35675861#1_0_461
68,parkingArea_35675861#1_0_461
69,parkingArea_24310636#2_0_938
71,parkingArea_91181767_0_670
72,parkingArea_254758122#4_0_1183
